,Brand,0
584,Pantene,12
585,Park Avenue,12
586,Parker,5
587,Paul Rudd,2
588,Pedigree,18
589,Pet Wholesale,3
590,Peter England,1
591,Pets Empire,1
592,Phenovo,3
593,Philips,68
594,Philips Avent,17
595,Philips Lighting India,9
596,Photron,1
597,Pigeon,24
598,Pigeon by Stovekraft,17
599,Pilot,17
600,Plantex,1
601,Play,1
602,Play Panda,6
603,Polk Audio,1
604,Porro Fino,1
605,Portronics,37
606,PowerMax Fitness,4
607,Powerpak,7
608,Prabhas,9
609,Prana Air,1
610,Preethi,5
611,Premier,6
612,Presto!,2
613,PrettyKrafts,1
614,Princeware,2
615,ProElite,3
616,ProQ,1
617,Probiker,5
618,Probus,1
619,Prokick,1
620,Protokart,1
621,Protoner,2
622,Pt. Ajoy Chakraborty,2
623,Pt. Bhimsen Joshi,4
624,Pt. Kumar Gandharva,3
625,Pt. Rajan,1
626,Pt. Shiv Kumar Sharma,2
627,PumPum,1
628,Puma,2
629,Pureit,1
630,Purify+,1
631,QFX,3
632,QUEEN EXPORT,1
633,Quace,1
634,Quantum,18
635,Quastro,1
636,Quechua,9
637,Quick Heal,16
638,R for Rabbit,1
639,R-tek (DEVICE),2
640,R.K.V.,3
641,RASCO,1
642,RASON,3
643,RED CHERRY,2
644,REWY,3
645,ROBUST,3
646,ROCKETKART,1
647,ROHIT BAL,1
648,ROLLTOP,1
649,RPM - Euro Games,1
650,RS Home Furnishing,1
651,RUATAM HANDICRAFTS,1
652,RUBX,1
653,RYAN OVERSEAS,2
654,Racold,10
655,Radhika Apt,4
656,RainSound,10
657,RajasthaniKart,2
658,Rakesh Chaurasia,2
659,Rally,8
660,Rami Malek,2
661,Ranbir Kapoor,8
662,Ranveer Singh,4
663,Raspberry Pi,12
664,Ravensburger,13
665,Ravi Shankar,3
666,Reach,1
667,Realme,1
668,Recron Certified,5
669,Redgear,6
670,Reelay mee,1
671,Reglox,1
672,Regor,2
673,Reliable,1
674,Rewy,1
675,Rewy Generic,8
676,Rhobos,1
677,Rite Clique,1
678,Rizzer,3
679,"Rk Shrikathan,M.Balamuralai Krishana,Bombay s Jayashri,Aruna Sairam,Sudha Raghunathan,Nithyashree Mahadevan Maharajapuram V shantaram",2
680,Robert Downey Jr,2
681,Robert Pattinson,3
682,Robustrion,1
683,Rockbros,1
684,Rosset,1
685,Royal waves,1
686,Royallite,1
687,SAFESEED,10
688,SAFETYNET,3
689,SAI INTERNATIONAL,8
690,SAISAN,1
691,SAMPLUS MALL (LABEL),3
692,SAREGAMA,36
693,SARFUDDIN flutes,1
694,SASSIE,1
695,SEEKU,1
696,SELPAK,3
697,SFK,1
698,SG,16
699,SG Musical,6
700,SHOPATRONES,1
701,SHOPPOSTREET,1
702,SILTON,2
703,SJCAM,9
704,SKYSE,3
705,SLB Works,2
706,SMT,2
707,SNDIA,5
