,Seller,0
386,Blue Stars,1
387,BlueRigger India,1
388,Blue_Horse,1
389,Blueberry India,1
390,Blueberry Retail,2
391,Bluebird_1,1
392,Bluesunpower,1
393,Bluetoothzone,1
394,BoL56junH,1
395,Body Craft,1
396,BodyFit Gym,1
397,BoldnYoung,1
398,Bombay Gizmos,3
399,Bonbury,3
400,BookMyTech,1
401,Boss-Electronics,5
402,BoxWish,6
403,Boxwishing,1
404,Bracedeal,1
405,Brain Freezer,1
406,Brand Authorized Seller,2
407,Brandonn Fashions,1
408,Brands India,4
409,Brands at Discount,1
410,Brasas item store,1
411,BrightLight trading Co.,1
412,Brightlink,1
413,Bros & Co.,1
414,Brothers and Company,1
415,Bubby Enterprises,2
416,Bucketlist,3
417,Bulfyss® - What You See Is What You Get,10
418,Bulkybay,3
419,Bunty Jain,1
420,BurgeonPro,1
421,Burnlab,1
422,Buy  More,3
423,Buy-Smart,1
424,BuyZilla,1
425,Buyaccessories,4
426,Buyers Pool,1
427,CABLE GALLERY,1
428,CAMSHOP,1
429,CAMTIGER,1
430,CAR SMITH123,1
431,CDC,1
432,CERO CARE PRODUCTS LLP,1
433,CHANCY,1
434,CHAND BROTHERS,1
435,CHEAP,2
436,CHEMICO GLASS AND SCIENTIFIC COMPANY,1
437,CHENNAIMUSICALS,4
438,CHETANYA,4
439,CHETANYA ONLINE BUSSINESS,4
440,CJAY TRADER,1
441,CKB CREATIONS,2
442,CLEAN INDIA,1
443,CLEARING SALE OF YEAR,1
444,COLORTRADES,1
445,COMPUTER BOOKS & STATIONERY CENTER,1
446,COMPUTER CONSUMABLES COMPANY,2
447,COMPUTER WORLD  NIMTOURI,2
448,COSMETIC TRADERS,1
449,COSMETICS COLLECTION,1
450,COSMUS BAGS PVT. LTD.,2
451,CPSTORE,2
452,CRAFTS STOCK,3
453,CRAFTWELL,1
454,CRAZYDEALS,1
455,CROWN Stationers,1
456,CS Online Selling,1
457,CSC Car Decors,1
458,CSI Computer,1
459,CTM Homestyle Pvt Ltd,1
460,CTRIL,1
461,CV STUFF,1
462,CW96,3
463,Calypso,2
464,CamRack,1
465,Cambium Retail,4
466,Camera First,2
467,Candid Blue,4
468,Cannycom Store,2
469,Capital Sales,1
470,Capital Seller,5
471,CapriffIndia™,1
472,Captain LED,1
473,Car Store,3
474,Carazy,1
475,Carpartsexpert,1
476,Carry On Fashion Store,1
477,Cars outfit,3
478,Cart2India Online,19
479,Cart2India SLP,1
480,Cartridge Shop,2
481,Casa De Amor (TM),1
482,Cashien,1
483,Catch_D_Deal_SLP,2
484,CaymanSquare,2
485,CentIoT®,1
486,Cglobal,1
487,Chalk Factory,1
488,Champs Sports Goa,3
489,CheVik,1
490,Cheesycheeks,11
491,Chempure International,1
492,ChicTheDecor,1
493,Choice`,2
494,Chris and Kate,1
495,Chronex,1
496,Classic Network and Computers,8
497,Click At Luggage,2
498,Cloud  Tech,1
499,Cloud Warehouse,1
500,Cloud6,4
501,CloudChain,1
502,CloudNine India,1
503,Cloudsale®,3
504,Cloudtail India,232
505,Cloudtail.,11
506,Cloudtrade,1
507,CocoMoco Kids,1
508,Cognegic IT Services,3
509,Colorpur,1
510,Colour's India,1
511,Compassco,3
512,Compu Plus,1
513,Computer Tap,1
514,Computronics Multivision Pvt. Ltd.,5
515,ConbreStore,1
516,Cool Buddyzz™,1
517,Cooltail,2
518,Cosmic Communication,1
519,Cosmos Clothing Company,1
520,Cost 2 Cost1,1
521,Cpixen®,4
522,Crazy Sutra,1
523,CreativeCollection,1
524,Creativemarketing,2
525,Credence Industrial,1
526,Credo Accessories,1
527,Cross Border Trends,2
528,CrossWord Books,1
529,Croway Pvt India®,2
530,Crozon,3
531,Crust®,1
532,Crystalarc Lifestyle,1
533,Cube Shine,1
534,CurveIt,1
535,Cyruss,3
536,D & O Ventures Pvt Ltd,2
537,D K  Enterprise,1
538,D S Enterprise,1
