,Seller,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL_OVER
1947,PTpodsm,2.1333333333333333,4.407333333333333,4.183333333333334,4.162333333333333,3.3783643901469667
1948,PUNEET SPORTS GALLERY,1.5,4.05,4.05,2.775,2.4317451157795684
1949,PUSHBRITE,3.0,4.586666666666667,4.12,4.16,3.7161513379858704
1950,PYRAMID21,2.1666666666666665,4.114285714285715,3.7,2.9333333333333336,2.6197001503841904
1951,Pack N Promo,2.6666666666666665,3.9,3.9,3.283333333333333,2.8855122665459505
1952,Packkart,3.2764705882352945,4.368725490196078,3.786372549019608,3.5314215686274513,3.3518826727499125
1953,Pados Ki Dukaan,3.8714733542319753,4.5714733542319745,3.735283873214907,3.803378613723442,3.7231454979499414
1954,Palak Agencies,4.0,4.557142857142857,3.814285714285714,3.9071428571428575,3.8244659921741713
1955,Palm Retail,3.332258064516129,4.201182795698925,3.466344086021506,3.850913978494624,3.310829415027114
1956,Palred Retail,3.333333333333333,4.54047619047619,3.7833333333333323,3.5583333333333336,3.4573331927344775
1957,Pande General Agency,3.1785714285714284,4.282142857142857,3.8059523809523803,4.082738095238095,3.501034484016462
1958,Pankajtelevideocentre,3.7345744680851065,4.534858156028369,3.867553191489361,3.8819148936170205,3.737053452918209
1959,Paper Plane Design,4.0,4.58,4.0,4.0,3.9326773453751
1960,ParadiseCollection,3.6153846153846154,4.369780219780219,3.776923076923077,3.696153846153847,3.52189228821708
1961,Paradox India,1.75,4.3,4.1,2.925,2.7000263749317637
1962,Param Udyog,3.666666666666667,4.571428571428571,3.8999999999999995,3.7833333333333337,3.704463775721805
1963,Paras Electricals,5.0,5.0,4.1,4.55,4.690470715397504
1964,Parashar's Sports,4.533333333333333,4.877777777777777,3.826666666666667,4.18,4.250801319452089
1965,Parijata,2.946327683615819,4.181073446327683,3.5869491525423736,3.7920621468926545,3.1951117285437713
1966,PartsBigBoss,2.375,4.387499999999999,4.299999999999999,4.387499999999999,3.573094684807561
1967,Partyhunters,3.0,4.164285714285715,3.8500000000000005,3.4250000000000003,3.1504774203797887
1968,PatelCom Store,2.5,5.0,5.0,5.0,4.361052345092556
1969,Patidar Computers,0.6666666666666666,4.5,4.5,4.5,3.1850888855782173
1970,Patra Bhandar,4.666666666666666,4.809523809523809,4.233333333333333,4.449999999999999,4.5028402362182645
1971,Pattam Agencies,2.7555555555555555,4.39388888888889,4.163333333333335,4.2761111111111125,3.6096503148262618
1972,Pavan Retailing,3.25,4.275,3.925,3.5875,3.3688605457623826
1973,Paws for a cause,2.1818181818181817,4.1454545454545455,3.9181818181818184,3.05,2.7565855299636395
1974,Paykars,4.75,4.75,3.875,4.3125,4.3299741719840075
1975,PcBucket,2.53968253968254,4.527777777777778,4.26111111111111,4.267063492063492,3.6299904165980066
1976,Pcs System,3.4791666666666665,4.575,4.066666666666666,3.7729166666666667,3.697358827115607
1977,Peach Imports,3.834451901565995,4.717941834451901,4.06552572706935,4.526498881431768,4.167473165665461
1978,Pearls Rays,2.8867924528301887,4.442452830188678,4.040566037735848,4.207075471698113,3.6061775102462144
1979,PeehuEnterprises,3.6,4.6033333333333335,4.12,3.86,3.8005112083032446
