,Seller,Product,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL_OVER
4643,GoTo Style Mart,Bingo Plus 35.9856 Ltrs Pink School Backpack (SBBIP06PNK),4.166666666666667,4.609523809523809,4.05,4.108333333333333,4.044328046135655
4644,GoTo Style Mart,Black Men's Wallet (LW29),4.4,4.7700000000000005,4.025,4.2125,4.22339080191348
4645,GoTo Style Mart,Lifelong Power Pro 500-Watt Mixer Grinder with 3 Jars (White/Grey),2.5,4.1,3.6999999999999997,4.1,3.160184617101375
4646,GoTo Style Mart,Nile Polyester 54 cms Black Soft Sided Carry-On (STNILW54BLK),3.857142857142857,4.571428571428571,4.042857142857143,3.9499999999999993,3.863753778947211
4647,GoTo Style Mart,"Philips Base B22 9-Watt LED Bulb (Pack of 4, White)",3.0,4.483333333333334,4.050000000000001,3.525,3.385792353040203
4648,GoTo Style Mart,Polycarbonate 55 cm Gun Metal Softsided Cabin Luggage (38W (0) 58 001),3.0,4.316666666666666,3.75,3.375,3.1518405524555373
4649,GoTo Style Mart,Sb Frozen Champ 18.0063 Ltrs Blue School Backpack (SBFRC01BLU),4.0,4.4125,3.65,3.825,3.657693244109397
4650,GoTo Style Mart,Sb Frozen Champ 18.0063 Ltrs Pink School Backpack (SBFRC02PNK),3.25,4.506666666666666,4.133333333333333,3.6916666666666664,3.569477740922693
4651,GoTrippin,"Travel Money Belt, Waist Pouch Bag with RFID Security (Black)",4.666666666666667,4.666666666666667,3.5666666666666664,4.116666666666667,4.071380791876708
4652,GoalSquadShop,Liverpool F.C. SoccerStarz Klopp,3.0,4.005000000000001,3.725,3.3625,2.9988548377115674
4653,GoalSquadShop,Manchester City F.C PS4 Controller Skin MD,3.0,3.766666666666667,2.3000000000000003,3.766666666666667,2.5711332265763835
4654,GoalSquadShop,Manchester City F.C. Button Badge EST,1.6666666666666665,3.9309523809523808,3.8166666666666664,2.7416666666666667,2.3263547768328587
4655,GoalSquadShop,Manchester City F.C. Car Neck Cushion,3.666666666666667,4.265714285714286,3.7600000000000002,3.7133333333333334,3.478287901390412
4656,GoalSquadShop,Manchester City F.C. Cushion,3.75,4.547435897435897,3.9166666666666665,3.8333333333333335,3.7307347668595705
4657,GoalSquadShop,Tottenham Hotspur F.C. Wristbands,1.8333333333333335,4.138095238095238,3.8666666666666663,2.8500000000000005,2.5317488452484387
4658,Gocart,GOCART WITH G LOGO Antiperspirant Portable Push-up Bar (Black),2.666666666666667,4.185714285714285,4.0,3.3333333333333335,3.0538438639767094
4659,GoldMakers,Mobilegabbar Adjustable Mobile Holder / Mobile Stand / Car Stand With Quick One Touch Technology For Mobiles Phones (Black ),4.0,4.5,3.4,3.6999999999999997,3.5642204728447755
4660,Golden_Computers,Quantum QHM8810 Keyboard with Mouse (Black),3.5,4.199999999999999,3.399999999999999,4.199999999999999,3.464247434180538
4661,GooD DealinG,"Prestige Electric Kettle PKOSS - 1500watts, Steel (1.5Ltr), Black",4.0,4.566666666666666,3.399999999999999,4.566666666666666,3.932104392172538
4662,Good Shop Store,ASTEROID BIMAGE Mobile Game Aim Fire Controller Assist Tool Shooter Button,2.0434782608695654,3.858695652173913,3.4413043478260867,3.633695652173912,2.636754676452166
4663,Good Shop Store,"K3 PUBG Mobile Game Controller, Gamers Yard 1 Pair Sensitive Game Triggers for PUBG/Knives Out/Rules of Survival L1R1 Game Joysticks Gamepad for Android iOS Phones Transparent (Metal)",2.0,3.3571428571428577,2.7,3.3571428571428577,2.041180702791494
4664,GoodLuck Shoppie,"D-Link DIR-615 Wireless-N300 Router (Black, Not a Modem)",2.4285714285714284,4.071428571428571,3.899999999999999,4.071428571428571,3.1804655367711194
4665,GoodLuck Shoppie,"Samsung 23.5 inch (59.8 cm) Curved LED Backlit Computer Monitor - Full HD, VA Panel with VGA, HDMI, Audio Ports - LC24F390FHWXXL (Black)",2.25,4.387499999999999,4.299999999999999,4.387499999999999,3.522423757853904
4666,GoodLuck Shoppie,TP-LINK TD-W8961N 300Mbps fixed Antenna Wireless N ADSL2+ Modem Router,2.857142857142857,4.314285714285715,4.200000000000001,4.314285714285715,3.6223460548490602
4667,GoodLuck Shoppie,"TP-Link Archer C20 AC750 Wireless Dual Band Router (Blue, Not a Modem)",2.3333333333333335,4.1,3.899999999999999,4.1,3.1738477444032402
4668,GoodLuck Shoppie,TP-Link HA100 NFC-Enabled Bluetooth Music Receiver,2.4285714285714284,4.485714285714285,4.3999999999999995,4.485714285714285,3.695650936892089
4669,GoodLuck Shoppie,TP-Link TL-MR3020 Mini Pocket 3G/4G Wireless Router (Grey),2.111111111111111,4.033333333333333,3.8999999999999995,4.033333333333333,3.046634990668994
4670,GoodLuck Shoppie,TP-Link TL-WA850RE 300Mbps Universal Wi-Fi Range Extender (White),2.4285714285714284,4.2285714285714295,4.1000000000000005,4.2285714285714295,3.3793544029346316
4671,GoodLuck Shoppie,"iBall Slide Brace - XJ Tablet (10.1 inch, 3GB, 32GB 4G Volte, Voice Calling), Bronze Gold",2.142857142857143,3.714285714285714,3.399999999999999,3.714285714285714,2.6214757799302553
4672,GoodWill Tech,Pocket Size Business Credit Card Case,4.2,4.666666666666667,4.0,4.1000000000000005,4.060603880827017
4673,GoodsSell,3M Car Care Microfibre Cloth,3.0,4.275,4.05,3.5250000000000004,3.2923993506881164
4674,GoodsSell,"Formula 1 517377 Wash and Wax (946 ml), Black",3.75,4.62,4.1,3.925,3.8605760116383436
4675,GoodsSell,My Shaldan Orange Car Air Freshener (80 g),2.1999999999999997,4.273333333333333,3.84,3.02,2.767409192798884
4676,Goofy Tails,"Himalaya Erina Ep Powder, 150g",3.2857142857142856,4.595238095238095,4.266666666666667,3.776190476190476,3.698382823248029
4677,Goofy Tails,"Himalaya Erina-EP Tick and Flea Control Shampoo, 200 ml",3.5714285714285716,4.685714285714285,4.085714285714286,3.8285714285714287,3.79031441334567
4678,Goofy Tails,"Pedigree Adult Wet Dog Food, Chicken and Liver Chunks in Gravy, 80 g (Pack of 15)",1.25,4.095,4.075,2.6625,2.3220282538035923
4679,Goofy Tails,Super Dog Spiked Rubber Dog Ball (Color May Vary),4.0,4.565714285714286,3.96,3.98,3.890922438403712
4680,GopalJi Creation,Littly Contemporary Velvet Baby Bedding Set (Pink),2.6,4.283333333333334,4.1000000000000005,3.35,3.1162862198435413
4681,Goreitia,LIOOBO Infant Swim Diapers Reusable Swimming Nappy Cover Waterproof Swim Diaper for Baby Infant Toddler - Size L,2.5,4.385714285714285,4.0,3.25,3.0575059723225624
4682,Gorilla Fans,"Gorilla Efficio Energy Saving 5 Star Rated 3 Blade Ceiling Fan With Remote Control and BLDC Motor, 1200mm- Brown",2.1999999999999997,4.323333333333333,4.140000000000001,3.1700000000000004,2.9490609120663818
4683,Gorilla Fans,"Gorilla Efficio Energy Saving 5 Star Rated 3 Blade Ceiling Fan With Remote Control and BLDC Motor, 1200mm- White",4.0,4.6499999999999995,4.299999999999999,4.6499999999999995,4.304174568286744
4684,Goyal Enterprises 23,Cruze ABS 55 cms Black Hardsided Carry-On (AN6 (0) 09 001),3.5714285714285716,4.5,4.000000000000001,3.785714285714286,3.661564823048098
4685,Goyal International,Sai International Cable Gallery Unisex Neoprene Body Shaper For Waist Fitness Belt (XL),2.5,4.033333333333334,3.2000000000000006,2.85,2.4749053165647594
4686,Grab All Deals,Boya Omnidirectional Lavalier Condenser Microphone With 20ft Audio Cable,2.9629629629629632,4.2333333333333325,3.8444444444444437,4.037037037037036,3.3925022593951732
4687,Grab_Deals,SanDisk Dual Drive Type-C 32GB Flash Drive,4.0,4.779999999999999,3.8999999999999995,4.779999999999999,4.278834568992505
4688,Grace St.,Mastech MAS830L Digital Pocket Multimeter (Assorted),1.8333333333333335,4.142857142857143,3.8,2.8166666666666664,2.498497453844392
4689,Gravity IT,"Intel BOXNUC5CPYH 2015 Mini PC (Intel Celeron Processor N3050 /No OS/Integrated Graphics), Black",1.6,3.539999999999999,3.2999999999999985,3.539999999999999,2.26755356482447
4690,Gravity IT,"LG 20 inch HD Ready Monitor - VGA, HDMI Ports, Wall Mount - 20MK400H (Black)",1.8571428571428572,3.9285714285714293,3.7000000000000006,3.9285714285714293,2.810139528510926
