,Product,Price,Count,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL OVER
0,JBL C50HI in-Ear Headphones with Mic (Blue),Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd
0,Usha Maxx Air 400mm Table Fan (Blue),Pattam Agencies,NEW GOODLUCK G STORE,NEW GOODLUCK G STORE,Safal Enterprises,SENTHIL CHETTIYAR,NEW GOODLUCK G STORE,Sri Ganesh enterprises
0,Bajaj Flora 3-Litre Instant Water Heater (White),vs mark,vs mark,vs mark,vs mark,vs mark,vs mark,CHAND BROTHERS
0,Pigeon 12283 750-Watt Sandwich Toaster (White),Wani Kitchen India,Wani Kitchen India,Wani Kitchen India,Wani Kitchen India,Wani Kitchen India,Wani Kitchen India,Cloudtail India
0,TAAR Rugged Premium TPR MUSB Micro USB Nylon Braided Data Cable - 4.92 Feet (1.5 Meter),Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd
0,[Sponsored]Better & Brighter Homecare BBH ABS plastic Powerful Mid-Size Thermo-Electric Dehumidifier - Quietly Gathers up to 500 ml of Water per Day(White),BBHCPL,BBHCPL,BBHCPL,BBHCPL,BBHCPL,BBHCPL,BBHCPL
0,"Generic Sound Studio Recording Dynamic Professional Condenser Microphone Set, Blue (Requires phantom power connection)",𝕿𝖍𝖚𝖓𝖉𝖊𝖗𝕶𝖎𝖓𝖌,𝕿𝖍𝖚𝖓𝖉𝖊𝖗𝕶𝖎𝖓𝖌,𝕿𝖍𝖚𝖓𝖉𝖊𝖗𝕶𝖎𝖓𝖌,𝕿𝖍𝖚𝖓𝖉𝖊𝖗𝕶𝖎𝖓𝖌,𝕿𝖍𝖚𝖓𝖉𝖊𝖗𝕶𝖎𝖓𝖌,𝕿𝖍𝖚𝖓𝖉𝖊𝖗𝕶𝖎𝖓𝖌,Jagdamba etraders
0,"Secure Vision Dual Antenna WiFi IP Smart Camera, 1080P with Wall Stand (White)",ConbreStore,Aarav Common Services Center & Mobiles,Aarav Common Services Center & Mobiles,Aarav Common Services Center & Mobiles,Aarav Common Services Center & Mobiles,Aarav Common Services Center & Mobiles,Adofys India-(Customer Happiness Is Top Priority)
0,Saregama Carvaan SC01/SC02 Portable Digital Music Player (Oak Wood Brown),SUNNY MOBILE,CPSTORE,CPSTORE,CPSTORE,SUNNY MOBILE,CPSTORE,CPSTORE
0,"Allin Exporters Ultrasonic Humidifier and Purifier Cool Mist with LED Light (2.4L, Pink)",Bazzar 4 Deals,Bazzar 4 Deals,Bazzar 4 Deals,Bazzar 4 Deals,Bazzar 4 Deals,Bazzar 4 Deals,Bazzar 4 Deals
0,Canon EOS 6D Mark II 26.2MP Digital SLR Camera with EF24-105 mm f/4L is II USM Lens,Innovative E-Store,LIFESTYLES,ProAudioVideo,ProAudioVideo,ProAudioVideo,ProAudioVideo,ProAudioVideo
0,Microsoft Xbox One S 1TB Console - Battlefield V Bundle,game_shopee,game_shopee,game_shopee,game_shopee,game_shopee,game_shopee,Cloudtail India
