,Seller,Brand,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL_OVER
1703,Demart online services,Steelbird,3.583333333333333,4.3809523809523805,3.616666666666667,3.6000000000000005,3.4192805719851984
1704,Demart online services,Vega,3.0,4.05,3.6499999999999995,3.325,2.987313653847689
1705,Desert Retail,Skybags,4.75,4.75,4.0,4.375,4.388633334413774
1706,Desktop Hub,Desktop Hub,2.5,4.1,3.6999999999999997,4.1,3.167269732311907
1707,Dev Sports,Yonex,4.5,4.65,3.725,4.1125,4.069594662443244
1708,Devama The Divine,Alice,3.142857142857143,4.614285714285714,4.1000000000000005,4.614285714285714,3.938791809127694
1709,Devansh Enterprises ..,Wipro,4.0,4.371428571428572,3.5142857142857147,3.757142857142857,3.575245670255351
1710,Devineindia,Portronics,2.2911764705882356,4.274411764705882,4.133235294117648,4.021029411764707,3.2932591566716796
1711,Devlok Distributor,TP-Link,2.782608695652174,4.471739130434782,4.160869565217391,4.171739130434782,3.6075534784462
1712,DhanSai Expressions,VB Retail,4.333333333333333,4.458333333333333,4.0,4.166666666666666,4.042542805336691
1713,Dharmsut®,Generic,3.166666666666667,4.217619047619047,3.8649999999999998,3.515833333333333,3.2623325897367796
1714,Dharmsut®,Numlock,3.142857142857143,4.185714285714286,3.5142857142857147,3.3285714285714283,3.050417747986886
1715,Dhruv Sportz,Quechua,3.0898926654740606,4.32747763864043,3.826896243291592,3.458394454382826,3.252332567758322
1716,Dhruvi M,Portronics,3.230769230769231,4.419230769230769,4.053846153846154,4.042307692307691,3.641399021609813
1717,Dhwaj Flag,CarSaaz,3.4,4.316666666666666,3.8000000000000003,3.6,3.3927714262793836
1718,Diamond sell,A C SPORTS,3.0,4.390151515151515,4.081818181818182,3.5409090909090906,3.369053772015425
1719,Die Hard™ Collections,Die Hard,2.75,4.135,3.675,3.2124999999999995,2.910304950383528
1720,Digiclick store,Canon,3.888888888888889,4.911111111111111,4.116666666666666,4.602777777777778,4.312954384096216
1721,Diginet India,Fitbit,2.982456140350877,4.0131578947368425,3.4026315789473687,3.7504385964912275,3.0475432341883897
1722,Diginet India,Sony,2.0,4.4399999999999995,4.299999999999999,4.4399999999999995,3.493133833531274
1723,Digital Age,SanDisk,2.6,4.0,4.0,4.0,3.2155576264318353
1724,Digital India Mart,Portronics,2.75,4.1241666666666665,3.895,3.901666666666667,3.246439584059206
1725,Digital Mistry,Hikvision,0.5,3.3000000000000003,3.3000000000000003,3.3000000000000003,1.7210321586648818
1726,Digital Mistry,Terabyte,0.5,3.5,3.5,3.5,1.955832885209873
1727,Digital Nation Technology,HP,3.2857142857142856,4.085714285714286,3.2,4.085714285714286,3.239903366021479
1728,Digital Nation Technology,Lenovo,3.2205882352941178,3.8617647058823534,2.8911764705882352,3.6441176470588235,2.843278177068331
1729,Digital Shoppy,YKS,2.4461538461538463,3.968461538461539,3.5646153846153847,3.7361538461538464,2.9041322559307496
1730,Digital Xpert,Canon,3.523076923076923,4.52923076923077,4.02923076923077,4.341538461538462,3.8926538076858685
1731,Digital Xpert,Nikon,3.761467889908257,4.722247706422015,4.319495412844031,4.697362385321099,4.291315249770409
1732,Digital Xpert,Sony,4.25,4.875,4.5,4.875,4.646078349581597
1733,DigitalIndia,Fuji,2.6,5.0,5.0,5.0,4.389561259156793
1734,Digitall india,SUKAU,4.833333333333334,4.833333333333334,4.0,4.416666666666666,4.469143751977732
1735,Digitall india,TARAVISION,1.5,3.1249999999999996,3.1249999999999996,2.3125,1.5205323001703528
1736,Digitally Yours,Lapcare,4.0,4.914285714285714,4.799999999999999,4.914285714285714,4.699227517001228
1737,Discount Bazaar India,ORICO,3.542857142857143,4.572857142857143,4.337142857142856,4.368571428571428,4.032073633029805
1738,Discount Bazaar India,Raspberry,3.857142857142857,4.428571428571429,4.0,4.428571428571429,3.978219991373646
1739,Discount Bazaar India,Raspberry Pi,3.3818181818181823,4.496818181818182,4.149090909090909,4.22,3.8256328935602855
1740,Discount Junction,Aristocrat,2.3363636363636364,4.000000000000001,3.8272727272727276,3.0818181818181825,2.7169723987285934
1741,Discount Junction,Skybags,2.891304347826087,4.340869565217391,3.849565217391304,3.3704347826086956,3.16819557792693
