,Seller,MultiLink,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL_OVER
4688,Travelgasm,Rucksacks,1.7291666666666667,4.2250000000000005,3.9916666666666667,2.860416666666666,2.88199396630302
4689,Travelgasm,School Bags,4.2,4.316666666666666,3.8000000000000003,4.0,3.932970010337492
4690,Travelgasm,Suitcases & Trolley Bags,2.723076923076923,4.113846153846153,3.6292307692307686,3.176153846153846,3.122129938271544
4691,Travelgasm,Travel Duffles,2.769230769230769,4.194505494505495,3.523076923076924,3.1461538461538465,3.126867172260009
4692,Traveller Choice,Kitchen Storage & Containers,3.5714285714285716,4.757142857142857,4.114285714285715,3.8428571428571425,3.960771697232338
4693,Traveller Choice,School Bags,3.75,3.7700000000000005,3.5,3.625,3.3903966970742125
4694,TreasureRetail,Kitchen & Dining,4.857142857142857,4.871428571428572,3.642857142857143,4.25,4.3693845247955005
4695,Trends India International,Musical Instruments & Professional Audio,3.1790123456790123,4.586913580246914,4.090617283950618,4.075555555555557,3.854184014147201
4696,TrendyBuy,Headphones,3.5,4.233333333333333,3.9,3.7000000000000006,3.6333367037736535
4697,Trendz Bags,Rucksacks,3.7142857142857144,4.421428571428572,3.7928571428571436,3.753571428571429,3.7537679630154837
4698,Trendz Handpicked,Sewing & Craft Supplies,2.833333333333333,4.132142857142857,3.8249999999999993,3.3291666666666666,3.264548730062628
4699,Trexee Enterprises,Cycling,2.1666666666666665,4.335714285714286,3.85,3.008333333333333,3.0568856302368266
4700,Trexee Enterprises,Sewing & Craft Supplies,4.5,4.64,3.9333333333333336,4.216666666666667,4.249510069746619
4701,TriColor,International Toy Store,3.0,4.166666666666667,3.9499999999999997,3.475,3.4071239776905866
4702,TriTech International,Office Supplies & Stationery,3.15,4.78125,4.6625,4.34375,4.166927311806834
4703,Triddy,Kitchen & Home Appliances,3.0,4.466666666666668,4.200000000000001,4.466666666666668,3.915630277104761
4704,TridevEnterprises,Diapers,2.3442857142857143,4.264571428571427,4.053142857142856,3.1987142857142854,3.1982015668518358
4705,Triklup,Smart Home,3.8,4.5200000000000005,3.6000000000000005,4.5200000000000005,4.0126289266827975
4706,Trimurti Electricals,Heating & Cooling Appliances,0.7333333333333333,3.6799999999999993,3.6799999999999993,3.6799999999999993,2.573113162701822
4707,Trinity Jeans Company,Backpacks,1.0,3.8000000000000003,3.8000000000000003,2.4,2.309588020564815
4708,Trinity Jeans Company,Rucksacks,2.920634920634921,4.438888888888889,3.776984126984127,3.3488095238095235,3.4000655953831167
4709,Trinity Jeans Company,School Bags,3.4,4.343333333333334,3.6599999999999997,3.53,3.525261027435647
4710,Triple Point Ventures,Badminton,4.666666666666666,4.666666666666666,4.0,4.333333333333334,4.363354472996377
4711,TrishaEnterprises,Dog supplies,2.857142857142857,4.285714285714286,3.957142857142857,3.407142857142857,3.3923792063148284
4712,TrishaEnterprises,Strength Training,3.5,4.708571428571429,4.46,3.9800000000000004,4.062701176343143
4713,Triveni E-Cart,Components,3.84,4.45,3.614,4.302,3.9297007985021697
4714,True Accessories,Speakers,3.25,4.6000000000000005,4.2,4.6000000000000005,4.080884019704464
4715,True Beats,Backpacks,3.2857142857142856,4.4714285714285715,3.6142857142857143,3.4499999999999997,3.503414454657679
4716,True Beats,School Bags,2.1666666666666665,4.171428571428572,4.0,3.083333333333333,3.0599109373330187
4717,True Empire,Travel Accessories,2.333333333333333,4.219047619047619,3.7333333333333334,3.0333333333333337,3.0348691602948903
4718,True Mobile Bazaar,Car Electronics,2.8,4.24,3.4,3.1,3.1037887999021434
4719,Trust Retail,Heating & Cooling Appliances,3.4714285714285715,4.379285714285714,3.875714285714285,4.202142857142857,3.8386163758094964
4720,Trust Retail,Kitchen & Dining,2.8227272727272728,4.226136363636363,3.935227272727273,3.378977272727273,3.34451251257737
4721,Trust Retail,Kitchen & Home Appliances,3.2625,4.292083333333334,3.7220833333333347,3.989791666666666,3.6342208189029033
4722,Trust Zone 7,School Bags,2.6,4.14,4.14,3.3699999999999997,3.3025150912738788
4723,Truvon services,Kitchen & Home Appliances,4.166666666666667,4.323809523809524,3.2833333333333337,3.725,3.6931237951308695
4724,TryoKart,Security Cameras,3.522727272727273,4.3136363636363635,3.104545454545455,4.004545454545454,3.5493426341895677
4725,Tulip Sales,Lab & Scientific,3.23015873015873,4.302380952380953,3.5750000000000006,3.993055555555556,3.589309953591849
4726,Tulsi Care,Printers & Ink,2.6,4.28,3.9800000000000004,3.2899999999999996,3.2857547726884073
4727,Tupp Deals,Heating & Cooling Appliances,3.142857142857143,4.2857142857142865,3.900000000000001,3.521428571428572,3.494418741290194
4728,Tupp Deals,Kitchen & Home Appliances,4.111111111111111,4.7333333333333325,3.799999999999999,4.7333333333333325,4.307465846900024
4729,Tway Enterprise,Diapers,3.0,4.425,4.225,3.6125,3.6275576187728236
4730,Typewell Computers .,Monitors,0.75,3.9000000000000004,3.9000000000000004,3.9000000000000004,2.7952111100707127
4731,Typhon 1,Motorbike Accessories & Parts,2.666666666666667,4.357142857142857,3.6999999999999997,3.183333333333333,3.2216445874413706
4732,U S Computers,Components,2.3111111111111113,4.251111111111111,4.106666666666667,3.9755555555555566,3.45227885259227
4733,UAE-mart,Car Electronics,4.3,4.533333333333333,3.733333333333334,4.016666666666667,4.031324881001332
4734,UK TRADERS-18,Camping & Hiking,4.142857142857143,4.557142857142857,3.7285714285714286,3.935714285714286,3.9683945467585064
4735,UM Info World,Components,2.9333333333333336,4.0275,2.9899999999999998,3.7616666666666663,3.162137051418872
4736,UM Info World,Printers & Ink,2.4,3.8090909090909095,3.1818181818181825,3.6181818181818186,2.934225558920304
4737,UMATIC DATA PROCESSINGS PVT. LTD,Office Supplies & Stationery,3.2916666666666665,4.393750000000001,3.9249999999999994,4.183333333333334,3.8010144432584156
4738,UNITED SALES,Lab & Scientific,2.6,4.195,3.9700000000000006,3.726666666666667,3.392969428791707
4739,UNITED. BROTHERS,Lab & Scientific,3.25,4.366666666666666,3.533333333333333,3.899999999999999,3.577636410427533
4740,UNITED. BROTHERS,"Test, Measure & Inspect",3.3333333333333335,4.622222222222222,3.6999999999999997,4.216666666666667,3.8489647147381985
4741,UPVsales,All Computers & Accessories,5.0,5.0,4.0,5.0,4.803126515300322
4742,UPVsales,Components,3.3333333333333335,4.533333333333334,3.600000000000001,4.533333333333334,3.890515705289604
4743,UPVsales,Drives & Storage,4.166666666666667,4.833333333333333,4.0,4.833333333333333,4.449696417926578
4744,UPVsales,Speakers,3.235294117647059,4.605882352941176,4.029411764705882,4.267647058823529,3.9231013309193594
4745,URBAN ACCESSORIES,Camping & Hiking,2.833333333333333,4.507142857142857,4.05,3.441666666666667,3.5077486944385585
4746,URBAN ACCESSORIES,Strollers & Prams,3.0,4.383333333333333,3.9333333333333336,3.4666666666666663,3.4829889830744207
4747,URBRIGHT,Lab & Scientific,2.764705882352941,3.9470588235294115,3.2470588235294113,3.5941176470588228,3.1002936948778306
4748,UTKARSHENTERPRISES,Cricket,2.833333333333333,3.9642857142857144,3.55,3.1916666666666664,3.078862813661625
4749,UTTAM TOYS™©,Musical Instruments & Professional Audio,2.6,4.36,4.200000000000001,4.36,3.727031922081338
4750,UTTAM TOYS™©,Strollers & Prams,3.0999999999999996,4.33875,4.0325,3.5662499999999997,3.5541089770632173
4751,UZFAR TRADERS,Wallets,2.75,4.339999999999999,3.9699999999999998,3.3600000000000003,3.3711847378045583
4752,UjjwalTrading,Badminton,3.333333333333334,4.471212121212122,3.807575757575758,3.5704545454545458,3.6097380720585646
4753,UjjwalTrading,Fitness Accessories,3.6435897435897435,4.549230769230769,3.987692307692308,3.8156410256410256,3.8572532537057915
4754,Ukrit,Kitchen Storage & Containers,5.0,5.0,4.0,4.5,4.639805134529036
4755,UltraMedia,All Hindi,4.166666666666667,4.580952380952381,3.0,3.583333333333333,3.666987417806107
4756,Unique Nx,Video Games Deals,2.0,3.4800000000000004,3.1000000000000005,3.4800000000000004,2.6272074128089775
4757,Unique Technic Ganesh Sah,Football,2.0,4.6000000000000005,3.9333333333333336,2.966666666666667,3.1209024540583186
4758,Unique enterprise  mittal house,Software,3.888888888888889,4.800000000000001,3.9000000000000004,4.550000000000001,4.2382711835256
4759,Unique world store,Components,2.6631578947368424,4.322807017543859,3.9798245614035084,4.188157894736841,3.613332126497815
4760,Unique world store,Computer Accessories,2.0,4.55,4.3999999999999995,4.55,3.7483737226955918
4761,Unique world store,Desktops,2.58,4.28,3.8241666666666676,4.22375,3.5418776426663765
4762,Unique world store,Laptops,2.177777777777778,4.012777777777779,3.6655555555555566,3.846666666666668,3.1586500108109776
4763,Unique world store,Speakers,2.4285714285714284,4.315079365079366,4.03888888888889,4.057539682539683,3.51793988934488
4764,UniqueComputers,Computer Accessories,5.0,5.0,4.3,5.0,4.88636982068265
