,Brand,Best_Seller_ALL_OVER,Best_Seller_ALL_OVER_Rating,Best_Seller_FeedBack_Rating,Best_Seller_FeedBack_Rating_Rating,Best_Seller_Product_Rating,Best_Seller_Product_Rating_Rating,Best_Seller_Packaging_Rating,Best_Seller_Packaging_Rating_Rating,Best_Seller_Courier_Rating,Best_Seller_Courier_Rating_Rating
1037,Westside,GCI Network Private Limited,4.104740746528529,GCI Network Private Limited,3.8333333333333335,GCI Network Private Limited,4.1000000000000005,GCI Network Private Limited,4.55,GCI Network Private Limited,4.55
1038,Wet 'n Wild,Cloudtail India,3.4803322417752964,Cloudtail India,3.4,Cloudtail India,4.06,Cloudtail India,3.73,Cloudtail India,4.21
1039,Whirlpool,Sigma Online,3.769191817696262,Cloudtail India,3.1987089201877934,S4D COM,4.199999999999998,Sigma Online,4.47,Sigma Online,4.47
1040,Whitelily,sim sim world,4.128695044322091,sim sim world,4.038461538461538,24X7 SHOPPING STORE,4.1,sim sim world,4.448076923076924,sim sim world,4.711538461538462
1041,Wifi,AlexVyan_Brothers,3.880868837832125,HI-LITE ESSENTIALS,4.083333333333333,Hari Om Mobile,3.933333333333333,HI-LITE ESSENTIALS,4.214583333333334,AlexVyan_Brothers,4.463888888888889
1042,WildHorn,Cloudtail India,3.4844665911851718,Cloudtail India,3.453058103975536,WildHorn India,3.91285460992908,Cloudtail India,3.6624006116207934,WildHorn India,4.394343971631207
1043,Wildcraft,Kindle Retail,4.629893414510964,Kindle Retail,4.833333333333334,Kindle Retail,4.183333333333334,Kindle Retail,4.508333333333333,Kindle Retail,4.976190476190476
1044,Wildstags,Wildstags,3.7086911833853233,Wildstags,4.0,Kukatoo,4.000000000000001,Wildstags,3.883333333333333,Wildstags,4.371428571428572
1045,Wintech,Nallu Infotech,2.792134089359207,Nallu Infotech,3.2222222222222214,COMPUTER WORLD  NIMTOURI,3.1375,Nallu Infotech,3.6666666666666665,COMPUTER WORLD  NIMTOURI,4.0375000000000005
1046,Wipro,Shelfkey,4.682900117892795,Shelfkey,5.0,Sunshine51,4.18,Shelfkey,4.55,Shelfkey,5.0
1047,WonderKart,WonderKart®,2.992367852661441,WonderKart®,2.0,WonderKart®,4.266666666666667,WonderKart®,3.1333333333333333,WonderKart®,4.491666666666666
1048,Wonderchef,Jumbo Retails,4.544084587360609,TreasureRetail,4.857142857142857,Jumbo Retails,4.3,home bazar,4.7,TreasureRetail,4.871428571428573
1049,Wonderford,ZAPTIN ENTERPRISES,3.6859263616559153,Premium-Design,3.411111111111111,ZAPTIN ENTERPRISES,3.868,ZAPTIN ENTERPRISES,4.063999999999999,ZAPTIN ENTERPRISES,4.52
1050,Wright,Wright Sense,3.299678351814109,Wright Sense,3.302083333333333,Wright Sense,3.684375,Wright Sense,3.652604166666667,Wright Sense,4.221875
1051,X96,Elecronics Hub,3.4130706330441303,Elecronics Hub,2.8,Elecronics Hub,3.7,Elecronics Hub,4.2799999999999985,Elecronics Hub,4.2799999999999985
1052,XERGY,XERGY®,3.9549607556833064,XERGY®,4.333333333333333,XERGY®,3.8333333333333335,XERGY®,4.083333333333333,XERGY®,4.458333333333333
1053,XElectron,store of Gifts,3.3895789708848016,store of Gifts,3.6547619047619047,Inditradition ®,3.6681818181818175,store of Gifts,3.9672619047619047,Inditradition ®,4.377272727272727
1054,XPG,FastDealsIndia,3.782616488135672,FastDealsIndia,3.571428571428572,JollyBuy,3.4,FastDealsIndia,4.542857142857144,FastDealsIndia,4.542857142857144
1055,YAOJIN,Elites Accessories,3.862687959268842,Elites Accessories,2.5,Elites Accessories,4.35,Elites Accessories,4.675,Elites Accessories,4.675
1056,YI,Kiron,3.851009515502969,Kiron,3.783333333333333,Cross Border Trends,4.071428571428571,YI Technology Private Limited,4.240277777777779,Cross Border Trends,4.571428571428571
1057,YKS,Ktrack International,3.808862057930537,Enivid Sales,3.8181818181818175,Ktrack International,3.9190476190476202,Ktrack International,4.185714285714286,Ktrack International,4.561904761904762
1058,Yamaha,Audiomaxx In,4.644911526207248,Meera-Enterprises,3.82,The Style Referee,4.8,Audiomaxx In,4.95,Audiomaxx In,4.95
1059,YeahiBaby,reefor,3.911142418389219,reefor,4.5,reefor,3.5333333333333328,reefor,4.016666666666667,reefor,4.5200000000000005
1060,Yellow Weaves,Yellow Weaves,3.901491056488596,Yellow Weaves,4.020833333333333,Yellow Weaves,3.9354166666666655,Yellow Weaves,3.978125,Yellow Weaves,4.579166666666667
1061,Yogasya,Yogasya Wellness,3.246350881387113,Yogasya Wellness,3.0,Yogasya Wellness,3.916666666666667,Yogasya Wellness,3.458333333333333,Yogasya Wellness,4.316666666666666
1062,Yonex,AC Collections,4.604087086942587,AC Collections,5.0,NaTiVe StOrE,4.25,AC Collections,4.475,AC Collections,5.0
1063,Yumato,Vini Online Shop,3.308954570748081,Vini Online Shop,3.1666666666666665,Frizzer.,3.4,Vini Online Shop,4.133333333333334,Vini Online Shop,4.133333333333334
1064,ZAAMBUTECH,ESnipe Mart,4.222390521736538,universal tech accessories,3.7777777777777777,ESnipe Mart,4.4,ESnipe Mart,4.7,ESnipe Mart,4.7
1065,ZAPTIN,ZAPTIN ENTERPRISES,2.6939077984813933,ZAPTIN ENTERPRISES,3.0,ZAPTIN ENTERPRISES,3.3500000000000005,ZAPTIN ENTERPRISES,3.1750000000000003,ZAPTIN ENTERPRISES,3.75
1066,ZORO,ALFA Retail Corp,3.6219434825518,KAS CREATION,4.0,Akshay Retail,4.101388888888889,ALFA Retail Corp,3.7782709447415335,ALFA Retail Corp,4.416880570409981
1067,ZURU BUNCH,BE01,4.172065413516792,JHA & BROTHERS,4.75,BE01,3.96,FitXM,4.183333333333334,JHA & BROTHERS,4.775
1068,Zaptin™,ZAPTIN ENTERPRISES,2.776225436070102,teleform,2.6,teleform,3.66,ZAPTIN ENTERPRISES,3.353333333333333,teleform,4.01
1069,Zebronics,onlinebee,4.36580177807681,makeURkart,4.05,onlinebee,4.4,onlinebee,4.775,onlinebee,4.775
1070,Zebronics - Intel,HYNIX & KINGSTON DDR RAM,3.8361648848397594,HYNIX & KINGSTON DDR RAM,4.0,HYNIX & KINGSTON DDR RAM,3.0,HYNIX & KINGSTON DDR RAM,4.6,HYNIX & KINGSTON DDR RAM,4.6
