,Product,Best_Seller_ALL_OVER,Best_Seller_ALL_OVER_Rating,Best_Seller_FeedBack_Rating,Best_Seller_FeedBack_Rating_Rating,Best_Seller_Product_Rating,Best_Seller_Product_Rating_Rating,Best_Seller_Packaging_Rating,Best_Seller_Packaging_Rating_Rating,Best_Seller_Courier_Rating,Best_Seller_Courier_Rating_Rating
73,3 Idiots,RADIO & GRAMOPHONE HOUSE,4.563963296601751,RADIO & GRAMOPHONE HOUSE,4.857142857142857,ROOT OF PUSHKAR RECORDS,4.25,RADIO & GRAMOPHONE HOUSE,4.499999999999999,Pritam Music Pvt. Ltd.,4.914285714285714
74,"3 In 1 Travel Kit Set - Neck Pillow, Eye Mask, Ear Bud (Multi Colour)",Inditradition ®,3.9990405823678823,Inditradition ®,4.166666666666667,Inditradition ®,3.9,Inditradition ®,4.033333333333333,Inditradition ®,4.680952380952381
75,31 Ltrs Blue Casual Backpack (11653-Blue),Textech Solutions,4.131041374306288,Textech Solutions,4.6000000000000005,BAG  STREET,3.98923076923077,Textech Solutions,4.1475,Textech Solutions,4.716666666666666
76,32 Ltrs Black Casual Backpack (AMT Fizz SCH Bag 03 - Black),Cloudtail India,3.4065362281045766,Olympia Industries Ltd.,3.4307692307692315,Cloudtail India,3.8366666666666656,Olympia Industries Ltd.,3.575384615384615,Cloudtail India,4.428333333333334
77,32 Ltrs Black Laptop Backpack (AMT Juke Laptop BKPK 01 -Black),Amigo Store,2.9969889367643434,Amigo Store,2.333333333333333,Amigo Store,4.066666666666666,Amigo Store,3.2000000000000006,Amigo Store,4.366666666666666
78,35 Ltrs Typo_Blk Casual Backpack (11619-Typo_Blk),Kindle Retail,4.6262446018079135,Kindle Retail,4.833333333333334,GoTo Style Mart,4.2,Kindle Retail,4.508333333333333,Kindle Retail,4.976190476190476
79,3M Attachment Tape (double-sided) : 1 Roll of 12mm X 10Mtr,SSIH Mart,3.6385931241785534,SSIH Mart,3.8571428571428568,Thanukkodi Adithya,4.066666666666666,SSIH Mart,3.735714285714285,SSIH Mart,4.571428571428571
80,3M Car Care Microfibre Cloth,Autofurnish India,4.643873644440392,Autofurnish India,5.0,Om Trading Company..,4.060000000000001,Autofurnish India,4.516666666666667,Autofurnish India,5.0
81,3M Non-Woven Fiber Electrostatic Air Purifying Filter for Split AC,AE INDIA,4.1309960706023405,Healthy18,4.2,Healthy18,3.6000000000000005,AE INDIA,4.7200000000000015,AE INDIA,4.7200000000000015
82,42 Ltrs Black Laptop Backpack (TECK4BLK),Discount Junction,3.878347948575246,Discount Junction,4.0,MSALE,4.016666666666667,Discount Junction,4.0,MSALE,4.488095238095238
83,42 Ltrs Blue Laptop Backpack (TECK1BLU),Sigma Online,2.9969866048031624,Sigma Online,2.8000000000000003,Sigma Online,3.88,Sigma Online,3.34,Shantam International,4.085
84,45 Ltrs Blue Rucksack (8903338073871),SHOWCASE LIFE STYLE,3.641510516042545,SHOWCASE LIFE STYLE,3.6666666666666665,Travelgasm,4.128571428571428,SHOWCASE LIFE STYLE,3.766666666666667,SHOWCASE LIFE STYLE,4.5
85,45 Ltrs Grey and orange Rucksack (8903338073864),Textech Solutions,4.198780911301871,Textech Solutions,4.666666666666666,MyPryce,3.96,Textech Solutions,4.233333333333333,Brands India,4.680952380952381
86,45 Ltrs Red Rucksack (8903338073857),eWizard,3.6971402171519667,eWizard,4.0,SHOWCASE LIFE STYLE,3.9500000000000006,eWizard,3.8166666666666655,eWizard,4.514285714285714
87,50Ltrs Blue Rucksack (A0726NBL01),Cloudtail India,3.233251217777025,Cloudtail India,3.4285714285714284,Cloudtail India,3.7142857142857135,Cloudtail India,3.571428571428572,Cloudtail India,4.042857142857144
88,"55 cm Hardshell Cabin Size Suitcase, Slate Grey",Cloudtail India,3.12039346348122,Cloudtail India,2.7727272727272725,Cloudtail India,3.984848484848485,Cloudtail India,3.37878787878788,Cloudtail India,4.230303030303031
89,65 Ltrs Blue Trekking Backpack (Thriller 65 LTR N Blue),Envision Entertainment,3.301904563238925,Envision Entertainment,3.4,Cloudtail India,4.0,Envision Entertainment,3.561111111111112,Cloudtail India,4.385714285714285
