web-scraper-order,web-scraper-start-url,MultiLink,MultiLink-href,Product,Product-href,Pagination,Pagination-href,Brand,ProductRating,Category,Sellers,Sellers-href,SellerName,SellerName-href,Price,FeedBack
"1551206687-24444","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Bags & Luggage","https://www.amazon.in/Luggage-Bags/b/ref=sd_allcat_sbc_mfashion_bags?ie=UTF8&node=2454169031","55 cm Hardshell Cabin Size Suitcase, Slate Grey","https://www.amazon.in/AmazonBasics-Hardshell-Cabin-Luggage-Slate/dp/B07C8N46G4/ref=sr_1_91?s=luggage&ie=UTF8&qid=1551206564&sr=1-91","Next Page","https://www.amazon.in/s/ref=lp_2454169031_pg_2?rh=n%3A2454169031&page=2&ie=UTF8&qid=1551206559","AmazonBasics","null","null","1 offer","https://www.amazon.in/gp/offer-listing/B07C8N46G4/ref=dp_olp_new?ie=UTF8&condition=new","Cloudtail India","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_1?ie=UTF8&asin=B07C8N46G4&isAmazonFulfilled=1&seller=AT95IG9ONZD7S","","3 out of 5 stars"
"1551204561-18478","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Wallets","https://www.amazon.in/wallets-for-men/b/ref=sd_allcat_sbc_mfashion_wallets?ie=UTF8&node=2917496031","Brown Men's Wallet (TW106LM1DB)","https://www.amazon.in/Titan-Brown-Mens-Wallet-TW106LM1DB/dp/B00I3WUZVQ/ref=lp_2917496031_1_37?s=luggage&ie=UTF8&qid=1551201265&sr=1-37","","","Titan","4.3 out of 5 stars","null","15 offers","https://www.amazon.in/gp/offer-listing/B00I3WUZVQ/ref=dp_olp_new?ie=UTF8&condition=new","","","Rs. 998.00",""
"1551202012-10816","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Wallets","https://www.amazon.in/wallets-for-men/b/ref=sd_allcat_sbc_mfashion_wallets?ie=UTF8&node=2917496031","Black Men's Wallet With Watch & Belt - Combo Pack (CP-CP-101-URB-09-VT-0209)","https://www.amazon.in/Laurels-Black-Wallet-Watch-CP-CP-101-URB-09-VT-0209/dp/B075H1ZH2P/ref=sr_1_90?s=luggage&ie=UTF8&qid=1551201280&sr=1-90","Next Page","https://www.amazon.in/s/ref=lp_2917496031_pg_2?rh=n%3A2454169031%2Cn%3A%212454170031%2Cn%3A2917484031%2Cn%3A2917496031&page=2&ie=UTF8&qid=1551201265","Laurels","3.0 out of 5 stars","null","2 offers","https://www.amazon.in/gp/offer-listing/B075H1ZH2P/ref=dp_olp_new?ie=UTF8&condition=new","Fine Line Retails","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_1?ie=UTF8&asin=B075H1ZH2P&isAmazonFulfilled=1&seller=A2O5IUHNV26AAF","","1 out of 5 stars"
"1551208990-30887","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Clothing","https://www.amazon.in/Mens-Clothing/b/ref=sd_allcat_sbc_mfashion_clothing?ie=UTF8&node=1968024031","Combo of 2 Wayfarer Unisex Sunglasses(Wy-001-005|50|Black, Brown)","https://www.amazon.in/Silver-Kartz-Wayfarer-Sunglasses-Wy-001-005/dp/B06X9YZR91/ref=lp_1968024031_1_40?s=apparel&ie=UTF8&qid=1551208698&sr=1-40","","","null","3.0 out of 5 stars","Sunglasses","null","","","","",""
"1551203595-15300","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Wallets","https://www.amazon.in/wallets-for-men/b/ref=sd_allcat_sbc_mfashion_wallets?ie=UTF8&node=2917496031","WildHorn Black Men's Wallet (WH1252)","https://www.amazon.in/WildHorn-Black-Mens-Wallet-WH1252/dp/B06XNWG5S8/ref=sr_1_57?s=luggage&ie=UTF8&qid=1551201280&sr=1-57","Next Page","https://www.amazon.in/s/ref=lp_2917496031_pg_2?rh=n%3A2454169031%2Cn%3A%212454170031%2Cn%3A2917484031%2Cn%3A2917496031&page=2&ie=UTF8&qid=1551201265","WildHorn","4.1 out of 5 stars","null","2 offers","https://www.amazon.in/gp/offer-listing/B06XNWG5S8/ref=dp_olp_new?ie=UTF8&condition=new","WildHorn India","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_2?ie=UTF8&asin=B06XNWG5S8&isAmazonFulfilled=1&seller=A2RO2ERLWXVSHP","","4 out of 5 stars"
"1551204955-19790","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Wallets","https://www.amazon.in/wallets-for-men/b/ref=sd_allcat_sbc_mfashion_wallets?ie=UTF8&node=2917496031","Aaleezah Enterprises Tan Men's Wallet","https://www.amazon.in/Aaleezah-Enterprises-Tan-Mens-Wallet/dp/B077XJV783/ref=lp_2917496031_1_33?s=luggage&ie=UTF8&qid=1551201265&sr=1-33","","","WILDEDGE","4.3 out of 5 stars","null","12 offers","https://www.amazon.in/gp/offer-listing/B077XJV783/ref=dp_olp_new?ie=UTF8&condition=new","ALFA Retail Corp","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_4?ie=UTF8&asin=B077XJV783&isAmazonFulfilled=1&seller=A1I6F6168CKCC7","","4 out of 5 stars"
"1551203897-16280","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Wallets","https://www.amazon.in/wallets-for-men/b/ref=sd_allcat_sbc_mfashion_wallets?ie=UTF8&node=2917496031","Brown Men's Wallet (TW162LM1BR)","https://www.amazon.in/Titan-Brown-Mens-Wallet-TW162LM1BR/dp/B01B4J9C9A/ref=lp_2917496031_1_49?s=luggage&ie=UTF8&qid=1551201265&sr=1-49","","","Titan","4.1 out of 5 stars","null","11 offers","https://www.amazon.in/gp/offer-listing/B01B4J9C9A/ref=dp_olp_new?ie=UTF8&condition=new","ELITE BAGS","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_7?ie=UTF8&asin=B01B4J9C9A&isAmazonFulfilled=0&seller=AN9XNPSZMW0Q","","5 out of 5 stars"
"1551204112-17009","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Wallets","https://www.amazon.in/wallets-for-men/b/ref=sd_allcat_sbc_mfashion_wallets?ie=UTF8&node=2917496031","Black Men's Wallet (R31992018)","https://www.amazon.in/Peter-England-Black-Wallet-R31992018/dp/B07LH7D7TV/ref=lp_2917496031_1_47?s=luggage&ie=UTF8&qid=1551201265&sr=1-47","","","Peter England","null","null","1 offer","https://www.amazon.in/gp/offer-listing/B07LH7D7TV/ref=dp_olp_new?ie=UTF8&condition=new","Cloudtail India","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_1?ie=UTF8&asin=B07LH7D7TV&isAmazonFulfilled=1&seller=AT95IG9ONZD7S","","1 out of 5 stars"
"1551207119-25421","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Bags & Luggage","https://www.amazon.in/Luggage-Bags/b/ref=sd_allcat_sbc_mfashion_bags?ie=UTF8&node=2454169031","ZERVOS Women's Handbag (Tan)","https://www.amazon.in/Lavie-ZERVOS-Womens-Handbag-Tan/dp/B07KMM6V7G/ref=lp_2454169031_1_18?s=luggage&ie=UTF8&qid=1551206559&sr=1-18","","","null","null","null","null","","","","",""
"1551208514-29405","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","T-shirts & Polos","https://www.amazon.in/Mens-Tshirts-Polos/b/ref=sd_allcat_sbc_mfashion_tshirts?ie=UTF8&node=1968120031","Men's Cotton T-Shirt","https://www.amazon.in/Maniac-Mens-Plain-T-Shirt-MLENS-SS17-FS-RNCK-NAVY-THUMB-RING_Medium/dp/B06VXDB75G/ref=sr_1_84?s=apparel&ie=UTF8&qid=1551208475&sr=1-84","Next Page","https://www.amazon.in/s/ref=lp_1968120031_pg_2?rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1968024031%2Cn%3A1968120031&page=2&ie=UTF8&qid=1551208470","null","3.7 out of 5 stars","T-Shirts","null","","","","",""
