web-scraper-order,web-scraper-start-url,MultiLink,MultiLink-href,Product,Product-href,Pagination,Pagination-href,Brand,ProductRating,Category,Sellers,Sellers-href,SellerName,SellerName-href,Price,FeedBack
"1551204018-16696","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Top Brands","https://www.amazon.in/s/ref=sd_allcat_sbc_wfashion_topbrands?_encoding=UTF8&bbn=1953602031&lo=apparel&rh=i%3Aapparel%2Cn%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Ck%3A-sunglass%20-eye%2Cp_98%3A10440597031%2Cp_n_feature_nineteen_browse-bin%3A11301357031","Women's Plain/Solid Panty","https://www.amazon.in/Jockey-Womens-Plain-FE14-0105-PBLOS_Peach-Blossom_M/dp/B07GG7PDDD/ref=sr_1_65?s=apparel&rps=1&ie=UTF8&qid=1551203920&sr=1-65&keywords=-sunglass+-eye&refinements=p_98%3A10440597031%2Cp_n_feature_nineteen_browse-bin%3A11301357031","Next Page","https://www.amazon.in/s/ref=sr_pg_2?rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Ck%3A-sunglass+-eye%2Cp_98%3A10440597031%2Cp_n_feature_nineteen_browse-bin%3A11301357031&page=2&bbn=1953602031&keywords=-sunglass+-eye&ie=UTF8&qid=1551203916&lo=apparel","null","4.4 out of 5 stars","Panties","null","","","","",""
"1551204162-17179","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Top Brands","https://www.amazon.in/s/ref=sd_allcat_sbc_wfashion_topbrands?_encoding=UTF8&bbn=1953602031&lo=apparel&rh=i%3Aapparel%2Cn%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Ck%3A-sunglass%20-eye%2Cp_98%3A10440597031%2Cp_n_feature_nineteen_browse-bin%3A11301357031","Women's Crepe A-Line Kurta","https://www.amazon.in/Janasya-Womens-A-Line-Kurta-JNE2100-KR-144_Turquoise_M/dp/B078Q3C6QS/ref=sr_1_19?s=apparel&rps=1&ie=UTF8&qid=1551203916&sr=1-19&keywords=-sunglass+-eye&refinements=p_98%3A10440597031%2Cp_n_feature_nineteen_browse-bin%3A11301357031","","","null","3.9 out of 5 stars","Kurtas & Kurtis","null","","","","",""
"1551197039-1717","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","The Designer Boutique","https://www.amazon.in/b/ref=sd_allcat_sbc_wfashion_designerstore?ie=UTF8&node=6172354031","Rohit Bal Black Leather Organiser for Men","https://www.amazon.in/Rohit-Bal-Black-Leather-Organiser/dp/B0738HN52T/ref=lp_6172354031_1_8?s=apparel&ie=UTF8&qid=1551196298&sr=1-8","","","ROHIT BAL","null","null","1 offer","https://www.amazon.in/gp/offer-listing/B0738HN52T/ref=dp_olp_new?ie=UTF8&condition=new","","","Rs. 3,895.00",""
"1551204759-19147","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Western Wear","https://www.amazon.in/womens-western-wear/b/ref=sd_allcat_sbc_wfashion_western?ie=UTF8&node=11400137031","Women's Leggings","https://www.amazon.in/LUX-LYRA-Leggings-IC-10_Free/dp/B072B6J2LL/ref=lp_11400137031_1_9?s=apparel&ie=UTF8&qid=1551204517&sr=1-9","","","null","4.1 out of 5 stars","Leggings","null","","","","",""
"1551203613-15379","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Watches","https://www.amazon.in/Women-Watches/b/ref=sd_allcat_sbc_wfashion_watches?ie=UTF8&node=2563505031","Skmei Analog-Digital Multi-Colour Dial Unisex Watch - 1117BBGREY","https://www.amazon.in/Skmei-Analog-Digital-Multi-Colour-Unisexs-Watch-1117BBGREY/dp/B01EHL2FXW/ref=sr_1_69?s=watches&ie=UTF8&qid=1551203489&sr=1-69","Next Page","https://www.amazon.in/s/ref=lp_2563505031_pg_2?rh=n%3A1350387031%2Cn%3A%211350388031%2Cn%3A2563505031&page=2&ie=UTF8&qid=1551203482","null","3.8 out of 5 stars","null","null","","","","",""
"1551200931-8654","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Sunglasses","https://www.amazon.in/Sunglasses/b/ref=sd_allcat_sbc_wfashion_sunglasses?ie=UTF8&node=1968401031","UV Protected Rectangular Unisex Sunglasses - (SOC-SM-700-C1|58|Grey Color Lens)","https://www.amazon.in/Superman-Protected-Rectangular-Unisex-Sunglasses/dp/B01N4X2CTP/ref=sr_1_73?s=apparel&ie=UTF8&qid=1551200825&sr=1-73","Next Page","https://www.amazon.in/s/ref=lp_1968401031_pg_2?rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968397031%2Cn%3A1968401031&page=2&ie=UTF8&qid=1551200820","null","3.4 out of 5 stars","Sunglasses","null","","","","",""
"1551204362-17844","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Lingerie & Nightwear","https://www.amazon.in/b/ref=sd_allcat_sbc_wfashion_lingerie?ie=UTF8&node=11400136031","Women's Detachable Transparent Straps Bra (White, Free Size) -Set of 2","https://www.amazon.in/FIMS-detachable-transparent-Replacement-Transparent/dp/B07DJ3WJZV/ref=sr_1_57?s=apparel&ie=UTF8&qid=1551204225&sr=1-57","Next Page","https://www.amazon.in/s/ref=lp_11400136031_pg_2?rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A11400136031&page=2&ie=UTF8&qid=1551204218","null","4.3 out of 5 stars","Bras","null","","","","",""
"1551202114-11061","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Fashion & Silver Jewellery","https://www.amazon.in/Fashion-Jewellery/b/ref=sd_allcat_sbc_wfashion_fashionjwl?ie=UTF8&node=5210079031","Shining Diva Gold Plated Traditional Jewellery Kundan Pearl Necklace Set with Earrings for Women (White) (rrsd6706s)","https://www.amazon.in/Shining-Diva-Traditional-Jewellery-rrsd6706s/dp/B017NUYT8S/ref=lp_5210079031_1_40?s=jewelry&ie=UTF8&qid=1551201202&sr=1-40","","","null","3.9 out of 5 stars","null","null","","","","",""
"1551202799-12886","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Gold & Diamond Jewellery","https://www.amazon.in/Precious-Jewellery/b/ref=sd_allcat_sbc_wfashion_jewelry?ie=UTF8&node=5210069031","30 gm, 24KT Yellow Gold Bar","https://www.amazon.in/Kundan-24KT-Yellow-Gold-Bar/dp/B07B41MJ61/ref=lp_5210069031_1_10?s=jewelry&ie=UTF8&qid=1551202416&sr=1-10","","","null","4.0 out of 5 stars","null","null","","","","",""
"1551204503-18289","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Lingerie & Nightwear","https://www.amazon.in/b/ref=sd_allcat_sbc_wfashion_lingerie?ie=UTF8&node=11400136031","LACE AND ME Laceandme Magic Wire No Rolling Down Tummy Tucker Women's Shapewear (Free Size) Free 4 Pcs Wooden Cloth Clips","https://www.amazon.in/Womens-Polyester-Spandex-Rolling-Shapewear/dp/B016ESSF30/ref=lp_11400136031_1_7?s=apparel&ie=UTF8&qid=1551204218&sr=1-7","","","null","3.4 out of 5 stars","Shapewear","null","","","","",""
